ID,hora_reg_norm,dia_reg,medio_contacto_grupo,tipo_mail_rango,ingreso_propio_norm,edad_norm,sexo,nivel_estudios,Estado,destino,act_eco,ing_cuota_pf_rv,cuota_mensual_fijos,cuota_mensual_revolventes,hist_suf_pf_norm,hist_suf_rv_norm,bc_score_norm,icc_norm,monto_prom_norm,porc_deuda_12m_norm,porc_fijos_norm,porc_saldo_fijos_norm,pagos_suf_limite_norm,pagos_suf_limite_RV_norm,creditos_general_norm,creditos_general_ab_norm,creditos_recientes_norm,Saldo_Vencido_act_norm,Saldo_Actual_PF_norm,Saldo_Actual_RV_norm,porc_deuda_rev_norm,pagos_suf_limite_PF_norm,porc_mop_1_norm,ind_mop_4_9_norm,mop_max_act_norm,BANCO_HIP,BANCO_RV,BANCO_PF,AUTO,TIENDA_COMERCIAL,FINANCIERA,MICROFINANCIERA,COMUNICACIONES,con_2m_norm,BURO_DE_CREDITO_C,BANCO_C,SIC_C,FINANCIERA_C,CONSUMIDOR_FINAL_C,MICROFINANCIERA_C,TIENDA_COMERCIAL_C,BANCOS_C
411103,0.826086956521739,4,El Mejor Trato,hot,0.0,0.00454316002019182,Hombre,Secundaria,CDMX,3,Empleado,0.431,0,1724,0.176,0.188,0.634674922600619,0.625,0.047,0.24968685516318,0.25,0.0,0.096,0.082,0.08,0.1,1.0,0.0,0.0,0.130953333333333,1.0,0.0175,0.770114942528736,0.0,0.111111111111111,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0666666666666667,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0
244797,0.695652173913043,2,El Mejor Trato,hot,0.0535714285714286,0.01110550227158,Hombre,Bachillerato,Nuevo Leon,1,Empleado,0.263857142857143,1847,0,0.292,0.448,0.758513931888545,0.75,0.0236666666666667,0.123396523854013,0.333333333333333,0.933527897298441,0.862,0.4,0.2,0.2,0.8,0.0,0.017568,0.10052,0.876678876678877,0.5775,0.987080103359173,0.0,0.111111111111111,0.0833333333333333,0.416666666666667,0.25,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.133333333333333,0.333333333333333,0.222222222222222,0.0,0.222222222222222,0.0,0.0,0.0,0.0
1622767,0.826087,7,Campana GL,gma,0.1964286,0.004038364,Mujer,Licenciatura,Quintana Roo,10,Empleado,0.2994667,4492,0,0.196,0.304,0.74613,0.875,0.0,0.2496869,0.4,0.7828084,0.36,0.218,0.08,0.2,1.0,0.0,0.533224,0.2465733,0.7271548,0.1775,1.0,0.0,0.1111111,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.2,0.2666667,0.4285714,0.1428571,0.0,0.1428571,0.0,0.0,0.0,0.0
1904144,0.7826087,5,YoTePresto,hot,0.3678571,0.01867744,Hombre,Licenciatura,CDMX,6,Empleado,0.614878,6784,8342,0.128,1.0,0.7244582,0.375,0.326112,0.2724173,0.4705882,0.3754161,0.868,0.782,0.26,0.35,0.5384615,0.0,0.417736,1.0,0.7384105,0.1075,0.8962963,0.0,0.1111111,0.0,0.1764706,0.2941176,0.0,0.0,0.05882353,0.0,0.1764706,0.4666667,0.0,0.2769231,0.1692308,0.06153846,0.2769231,0.0,0.1076923,0.0
90897,1.0,2,Otro_medio,hot,0.1125,0.00353356890459364,Hombre,Licenciatura,Estado de México,6,Empleado,0.780873786407767,6307,1736,0.16,0.12,0.708978328173375,0.5,0.0244183333333333,0.302503683561296,0.636363636363636,0.589321789321789,0.246,0.096,0.22,0.45,1.0,0.0,0.073512,0.08538,0.516411290322581,0.1875,0.583333333333333,0.0,0.111111111111111,0.0,0.0909090909090909,0.0909090909090909,0.0,0.363636363636364,0.454545454545455,0.0,0.0,0.8,0.1875,0.229166666666667,0.1875,0.0416666666666667,0.0,0.0416666666666667,0.0625,0.0
665592,0.4347826,1,El Mejor Trato,gma,0.03571429,0.003028773,Mujer,Licenciatura,Jalisco,6,Empleado,0.2945,44,1723,0.212,0.184,0.7182663,0.875,0.00509,1.0,0.5,0.0168906,0.332,0.198,0.18,0.2,0.8,0.0,0.000528,0.05122,1.0,0.1675,0.2145594,0.2,0.1111111,0.0,0.1,0.1,0.0,0.7,0.0,0.0,0.1,0.2,0.1052632,0.6842105,0.05263158,0.0,0.0,0.0,0.05263158,0.05263158
204439,0.869565217391304,2,Otro_medio,hot,0.642857142857143,0.0126198889449773,Hombre,Maestria,Queretaro de Arteaga,6,Empleado,0.10615,3430,816,0.484,0.528,0.678018575851393,0.375,0.025,0.24968685516318,0.272727272727273,0.400641837282889,0.996,0.694,0.14,0.25,1.0,0.0,0.0,1.0,0.823441239205078,0.3775,0.814814814814815,0.0,0.111111111111111,0.0909090909090909,0.181818181818182,0.0,0.0909090909090909,0.272727272727273,0.0,0.0,0.363636363636364,0.0666666666666667,0.115384615384615,0.307692307692308,0.269230769230769,0.0,0.192307692307692,0.0,0.0384615384615385,0.0384615384615385
968412,0.3478261,1,SOLCREDITO,hot,0.3214286,0.01261989,Hombre,Bachillerato,CDMX,1,Comerciante,0.1118182,180,2280,0.392,0.392,0.7399381,0.625,0.12378,0.02168626,0.3076923,0.1175403,0.676,0.482,0.18,0.2,0.8,0.0,0.008028,0.1004533,0.2971875,0.2425,0.60199,0.1,0.1111111,0.0,0.2307692,0.07692308,0.0,0.07692308,0.0,0.0,0.3076923,0.6666667,0.1923077,0.5,0.03846154,0.1153846,0.03846154,0.0,0.0,0.0
1159031,0.6521739,4,Otro_medio,gma,0.2857143,0.003533569,Hombre,Licenciatura,Estado de México,6,Empleado,0.07235,0,1447,0.0,0.16,0.6532508,0.75,0.1,0.2496869,0.0,0.0,0.246,0.246,0.08,0.2,1.0,0.0,0.0,0.1005067,0.1800786,0.0,0.8333333,0.4,0.1111111,0.0,0.5,0.0,0.0,0.1666667,0.0,0.0,0.3333333,0.1333333,0.3888889,0.2222222,0.05555556,0.1111111,0.0,0.0,0.0,0.05555556
967420,0.5217391,7,SOLCREDITO,gma,0.1428571,0.0116103,Hombre,Licenciatura,Nuevo Leon,6,Empleado,0.2971667,3566,0,0.376,0.236,0.8049536,0.75,0.0,0.2496869,0.6666667,1.0,0.336,0.0,0.04,0.05,1.0,0.0,0.0,0.0,0.0,0.42,1.0,0.0,0.1111111,0.3333333,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.625,0.0,0.25,0.0,0.0,0.0,0.0
1127372,0.7826087,2,Otro_medio,hot,0.2178571,0.005047956,Hombre,Licenciatura,CDMX,7,Empleado,0.4185802,4694,2087,0.072,0.368,0.7987616,0.875,0.3125,0.2496869,0.1818182,0.7964306,0.502,0.43,0.2,0.2,0.5714286,0.0,0.31416,0.1338333,0.1078449,0.09,0.9295775,0.0,0.1111111,0.0,0.6363636,0.09090909,0.09090909,0.09090909,0.0,0.0,0.09090909,0.06666667,0.36,0.32,0.08,0.0,0.08,0.0,0.0,0.0
